arrived_date,arrived_time,responsible_dept,supplier_of_the_container,direct_container_to_warehouse_date,direct_container_to_warehouse_time,container_arrived_to_warehouse_date,container_arrived_to_warehouse_time,status_direct_container_to_warehouse,loading_bay_in_date_warehouse,loading_bay_in_time_warehouse,status_loading_bay,reason_for_warehouse_waitting,finished_goods_loading_date,finished_goods_loading_time,finished_goods_complete_date,finished_goods_complete_time,status_finished_goods_loading,reasons_for_finsihed_goods_loading_delay,documentation_process_date,documentation_process_time,status_documentation_process,departure_from_plant_date,departure_from_plant_time,reason_for_document_clearing_delays,shipment_unloading_date,shipment_unloading_time,reason_for_unloading_delays,total_Shipment_duration,total_duration_whole_process
15-02-20,8.02,Industrial,LANKA FEIGHTERS,15-02-20,8.13,15-02-20,8.2,Yes,15-02-20,10,Yes,Carton Missing at WH,16-02-20,5.3,16-02-20,10.3,No,Early Arrival,19-02-20,12,No,19-02-20,12.15,vessel  omit,19-02-20,20.4,Vessel delays / omitted,4,184.9
15-02-20,9.2,Industrial,IWS HOLDINGS,15-02-20,9.35,15-02-20,10,Yes,15-02-20,10.25,Yes,Early Arrival,15-02-20,11,15-02-20,16,No,Finish Goods in IR WH,18-02-20,12.45,No,21-02-20,15.17,port opn delay,23-02-20,10.45,Vessel FCL opening delays,8,175.35
15-02-20,10.4,Medical,LANKA FEIGHTERS,15-02-20,10.45,15-02-20,11,Yes,15-02-20,10.5,Yes,Carton Missing at WH,15-02-20,11,15-02-20,11.3,Yes,Damage Carton,20-02-20,14,Yes,21-02-20,14.57,Load qty and cusdec Issues,24-02-20,20.1,Vessel issue,9,176.4
15-02-20,13.1,Industrial,LANKA FEIGHTERS,15-02-20,13.2,15-02-20,13.3,Yes,15-02-20,13.3,Yes,Early Arrival,15-02-20,18.3,15-02-20,22.3,No,Early Arrival,18-02-20,18,No,19-02-20,14.18,cargo delays,24-02-20,5.5,Vessel issue,9,31.85
15-02-20,12.1,Medical,LANKA FEIGHTERS,15-02-20,12.2,15-02-20,12.3,Yes,15-02-20,12.3,Yes,Carton Missing at WH,15-02-20,17.3,15-02-20,21.3,No,Finish Goods in IR WH,18-02-20,18,No,21-02-20,13.18,port opn. delay,24-02-20,6.45,Vessel FCL opening delays,9,55.16
15-02-20,14.09,Industrial,LANKA FEIGHTERS,15-02-20,14.15,15-02-20,14.2,Yes,15-02-20,15,Yes,Early Arrival,16-02-20,10.3,16-02-20,12.3,No,Bad Condition of container,19-02-20,12.5,Yes,19-02-20,13.12,port opn. delay,19-02-20,20.4,Vessel issue,4,
15-02-20,9.2,Industrial,IWS HOLDINGS,15-02-20,9.35,15-02-20,10,Yes,15-02-20,10.25,Yes,Damage Carton,15-02-20,11,15-02-20,16,No,Irradiation Pending,18-02-20,15.4,No,21-02-20,15.17,cargo ready delay,23-02-20,6.4,Vessel FCL opening delays,8,
15-02-20,10.4,Industrial,LANKA FEIGHTERS,15-02-20,10.45,15-02-20,11,Yes,15-02-20,10.5,Yes,Finish Goods in IR WH,15-02-20,11,15-02-20,11.3,Yes,Lunch Break,20-02-20,13.4,No,21-02-20,14.57,port opn. delay,22-02-20,20.1,Vessel FCL opening delays,7,
15-02-20,13.1,Industrial,IWS HOLDINGS,15-02-20,13.2,15-02-20,13.3,Yes,15-02-20,13.3,Yes,Carton Missing at WH,15-02-20,18.3,15-02-20,22.3,No,Damage Carton,18-02-20,6.3,No,20-02-20,14.18,port opn delay,24-02-20,5.5,Vessel FCL opening delays,9,
15-02-20,12.1,Medical,LANKA FEIGHTERS,15-02-20,12.2,15-02-20,12.3,Yes,15-02-20,12.3,Yes,Finish Goods in IR WH,15-02-20,17.3,15-02-20,21.3,No,Early Arrival,18-02-20,18,No,21-02-20,11.1,Order Number Variance,23-02-20,5.55,Vessel delays / omitted,8,
15-02-20,11.09,Medical,LANKA FEIGHTERS,15-02-20,11.15,15-02-20,11.2,Yes,15-02-20,12,Yes,Carton Missing at WH,16-02-20,7.3,16-02-20,12.3,No,Early Arrival,19-02-20,13,Yes,19-02-20,13.12,port opn delay,19-02-20,20.4,Vessel issue,4,105.31
15-02-20,9.2,Medical,LANKA FEIGHTERS,15-02-20,9.35,15-02-20,10,Yes,15-02-20,10.25,Yes,Early Arrival,15-02-20,11,15-02-20,16,No,Early Arrival,18-02-20,12.5,Yes,21-02-20,15.17,port opn delay,23-02-20,10.45,Vessel delays / omitted,8,193.25
15-02-20,10.4,Medical,IWS HOLDINGS,15-02-20,10.45,15-02-20,11,Yes,15-02-20,10.5,Yes,Carton Missing at WH,15-02-20,11,15-02-20,11.3,Yes,Lunch Break,20-02-20,14,No,21-02-20,14.57,port opn. Delay,23-02-20,20.1,Vessel FCL opening delays,8,225.7
15-02-20,13.1,Industrial,LANKA FEIGHTERS,15-02-20,13.2,15-02-20,13.3,Yes,15-02-20,13.3,Yes,Carton Missing at WH,15-02-20,18.3,15-02-20,22.3,No,Irradiation Pending,18-02-20,18,No,19-02-20,14.18,EARLY BOOKING,24-02-20,5.5,Vessel delays / omitted,9,203.9
15-02-20,12.1,Industrial,LANKA FEIGHTERS,15-02-20,12.2,15-02-20,12.3,Yes,15-02-20,12.3,Yes,Early Arrival,15-02-20,17.3,15-02-20,21.3,No,Finish Goods in IR WH,18-02-20,8.3,Yes,21-02-20,13.18,Pick slip issue,24-02-20,6.45,Vessel FCL opening delays,9,
15-02-20,14.09,Industrial,IWS HOLDINGS,15-02-20,14.15,15-02-20,14.2,Yes,15-02-20,15,Yes,Damage Carton,16-02-20,10.3,16-02-20,12.3,No,Early Arrival,19-02-20,12.5,No,19-02-20,13.12,EARLY BOOKING,19-02-20,20.4,Vessel issue,4,
15-02-20,9.2,Medical,LANKA FEIGHTERS,15-02-20,9.35,15-02-20,10,Yes,15-02-20,10.25,Yes,Finish Goods in IR WH,15-02-20,11,15-02-20,16,No,Early Arrival,18-02-20,15.4,No,21-02-20,15.17,port opn delay,23-02-20,6.4,Vessel FCL opening delays,8,
15-02-20,10.4,Medical,LANKA FEIGHTERS,15-02-20,10.45,15-02-20,11,Yes,15-02-20,10.5,Yes,Carton Missing at WH,15-02-20,11,15-02-20,11.3,Yes,Finish Goods in IR WH,20-02-20,13.4,Yes,21-02-20,14.57,cargo delays,22-02-20,20.1,Vessel delays / omitted,7,
15-02-20,13.1,Medical,IWS HOLDINGS,15-02-20,13.2,15-02-20,13.3,Yes,15-02-20,13.3,Yes,Finish Goods in IR WH,15-02-20,18.3,15-02-20,22.3,No,Irradiation Pending,18-02-20,6.3,No,20-02-20,14.18,port opn. Delay,23-02-20,5.5,Vessel delays / omitted,8,
15-02-20,11.1,Medical,IWS HOLDINGS,15-02-20,12.2,15-02-20,12.3,Yes,15-02-20,12.3,Yes,Carton Missing at WH,15-02-20,17.3,15-02-20,21.3,No,Early Arrival,18-02-20,18,No,21-02-20,11.1,Pick slip issue,22-02-20,5.55,Vessel FCL opening delays,7,
16-02-20,11.09,Medical,IWS HOLDINGS,16-02-20,11.15,16-02-20,11.2,Yes,16-02-20,12,Yes,Early Arrival,16-02-20,7.3,16-02-20,12.3,No,Early Arrival,19-02-20,13,No,19-02-20,13.12,Pick slip issue,19-02-20,20.4,Vessel issue,3,105.31
